set S := 1 2 3 4 5 ;


param wind1 := 
1 1   6.26 
1 2  10.76 
1 3   7.47 
1 4  11.27 
1 5   8.81 
1 6   9.51 
1 7  15.81 
1 8  17.52 
1 9  13.79 
1 10  12.18 
1 11   9.67 
1 12   7.85 
1 13  16.79 
1 14  13.04 
1 15   7.45 
1 16   9.46 
1 17  17.17 
1 18   5.27 
1 19  15.64 
1 20  10.02 
1 21   5.62 
1 22   9.45 
1 23   7.65 
1 24   7.42 
2 1   6.26 
2 2  10.76 
2 3   7.47 
2 4   3.83 
2 5   5.72 
2 6   3.72 
2 7   6.34 
2 8  11.28 
2 9   1.10 
2 10   6.80 
2 11  11.63 
2 12  12.25 
2 13   5.08 
2 14   6.60 
2 15   6.66 
2 16  10.11 
2 17   5.54 
2 18   3.64 
2 19   4.93 
2 20   2.34 
2 21  13.53 
2 22  10.96 
2 23  16.59 
2 24  14.27 
3 1   6.26 
3 2  10.76 
3 3   7.47 
3 4   3.83 
3 5   5.72 
3 6   3.72 
3 7   6.34 
3 8  11.28 
3 9   1.10 
3 10   6.80 
3 11  11.63 
3 12  12.25 
3 13   5.08 
3 14   6.60 
3 15   6.66 
3 16  10.11 
3 17   5.54 
3 18   3.64 
3 19   4.93 
3 20   2.34 
3 21  13.53 
3 22  13.24 
3 23   8.46 
3 24   6.51 
4 1   6.26 
4 2  10.76 
4 3   7.47 
4 4  11.27 
4 5   8.81 
4 6   9.51 
4 7  15.81 
4 8  17.52 
4 9  13.79 
4 10  12.18 
4 11   9.67 
4 12   7.85 
4 13  16.79 
4 14  13.04 
4 15   7.45 
4 16  11.47 
4 17  12.11 
4 18  16.28 
4 19   4.87 
4 20  12.17 
4 21   7.37 
4 22   5.77 
4 23   6.19 
4 24  11.55 
5 1   6.26 
5 2  10.76 
5 3   7.47 
5 4  11.27 
5 5   8.81 
5 6   9.51 
5 7  15.81 
5 8  17.52 
5 9  13.79 
5 10   5.92 
5 11   4.67 
5 12   8.32 
5 13   8.08 
5 14  12.43 
5 15   1.69 
5 16   8.11 
5 17   8.26 
5 18  11.83 
5 19   6.60 
5 20  13.03 
5 21  12.55 
5 22   4.83 
5 23  13.14 
5 24  10.11 
;


param wind2 := 
1 1   7.24 
1 2   3.86 
1 3   3.18 
1 4   0.96 
1 5   5.50 
1 6   0.95 
1 7   0.99 
1 8   3.31 
1 9  13.13 
1 10   5.03 
1 11   8.54 
1 12   4.68 
1 13  13.21 
1 14   4.70 
1 15   3.83 
1 16   7.71 
1 17   0.89 
1 18   5.16 
1 19   4.46 
1 20   1.61 
1 21  18.92 
1 22  11.01 
1 23   2.74 
1 24   2.19 
2 1   7.24 
2 2   3.86 
2 3   3.18 
2 4   2.46 
2 5   1.35 
2 6   4.99 
2 7   5.18 
2 8   9.38 
2 9   5.83 
2 10   4.71 
2 11   6.47 
2 12   5.98 
2 13   2.75 
2 14   1.18 
2 15   8.43 
2 16  10.00 
2 17   6.11 
2 18   8.42 
2 19  10.79 
2 20   2.55 
2 21   9.25 
2 22   9.66 
2 23   9.15 
2 24   6.65 
3 1   7.24 
3 2   3.86 
3 3   3.18 
3 4   2.46 
3 5   1.35 
3 6   4.99 
3 7   5.18 
3 8   9.38 
3 9   5.83 
3 10   4.71 
3 11   6.47 
3 12   5.98 
3 13   2.75 
3 14   1.18 
3 15   8.43 
3 16  10.00 
3 17   6.11 
3 18   8.42 
3 19  10.79 
3 20   2.55 
3 21   9.25 
3 22   5.03 
3 23  15.12 
3 24   7.54 
4 1   7.24 
4 2   3.86 
4 3   3.18 
4 4   0.96 
4 5   5.50 
